sdss_name,ra,dec,l,b,M_i,z,fwhm_CIV,fwhm_CIII,fwhm_MGII
142731.64-011146.3,216.8818517,-1.196215865,346.029045,53.43741844,-25.69276967,2.599295616,2508.514019,7746.227672,-1
231844.02+011120.8,349.6834321,1.189130731,80.96902597,-53.95225143,-24.16253383,2.270479441,3328.72658,20143.91826,6564.842862
155337.31+121757.4,238.4054801,12.29928464,22.97549218,44.91995554,-26.94229062,2.301875591,5572.829882,8491.002518,5490.736681
014329.36+075424.6,25.8723737,7.906854467,144.560822,-52.76517696,-27.5967332,2.327811241,4384.383819,7042.412622,7836.447461
083942.19+342540.5,129.9258291,34.42792778,188.6065402,36.28690817,-26.4869545,3.195048809,2530.977259,5123.901512,-1
015507.02+021431.6,28.77928968,2.242138297,153.0233867,-56.8623181,-25.03632831,2.470421553,4575.450509,-1,-1
134305.95+041427.3,205.7748073,4.240930137,333.4976915,64.00309261,-26.43679563,3.58680582,5241.79121,3690.864427,-1
142318.21+321526.9,215.8258773,32.25749711,52.91192311,69.44536578,-25.83543444,2.460457325,3779.521455,3043.363237,-1
231156.95+011056.1,347.9873177,1.182256813,78.70212258,-52.92625089,-25.16646561,1.563758016,4838.187963,6627.890456,4261.140066
131433.83+032321.9,198.6409743,3.38943084,317.034922,65.62597504,-27.59421497,2.250769138,-1,4706.635731,5237.944013
142334.92+351443.4,215.8955105,35.245394,61.06733311,68.75227654,-26.58311811,3.429386854,4988.666809,-1,-1
212632.75+095956.7,321.6364867,9.999102329,62.51106913,-28.01815482,-23.60009462,0.774422884,-1,-1,-1
122606.09-012613.2,186.5254052,-1.437010521,289.8700006,60.79057692,-24.35427016,2.338447332,2902.435838,2469.282081,-1
091523.34-021631.8,138.8472667,-2.275523741,233.4804212,30.29492837,-25.73807546,2.650957108,4539.593912,5978.614854,-1
004152.55+003005.0,10.46896888,0.501393575,117.7883807,-62.27482097,-26.75502032,2.349433422,3409.062005,4725.417918,3611.040549
135328.14+052558.4,208.3672871,5.432905909,339.9375675,63.7544726,-24.19461707,2.362468004,-1,17252.39094,-1
225946.63-003556.9,344.9443165,-0.599161527,72.98812293,-52.29366649,-25.42680539,3.280195236,3367.229244,7169.958732,-1
165524.06+210615.9,253.8502674,21.10442622,40.89713495,34.52989989,-24.46292412,2.24383235,3161.577013,4515.78737,-1
124210.76+024049.3,190.5448351,2.680364171,297.3594386,65.45188783,-27.17673758,3.175415516,6691.346819,10166.73564,-1
020754.60+025515.8,31.97753263,2.921069358,157.4482576,-54.74307842,-25.86317768,2.376681328,4614.74386,10709.21518,4075.212968
210826.31-020513.6,317.1096293,-2.087138788,48.10723388,-31.14234173,-26.71414232,2.411422014,4259.108323,10246.49811,4544.207218
074406.43+413120.7,116.0268272,41.5224397,177.8393632,27.00480481,-24.51100325,2.443595648,7242.451005,6057.677764,-1
113719.93+345808.7,174.3330757,34.96909741,182.0394528,72.33669722,-22.91398097,1.069140911,-1,-1,2838.678234
074549.95+373225.2,116.4581313,37.54035064,182.2499657,26.34416824,-27.30467728,3.007455826,3004.136942,2991.444256,-1
075014.40+432635.2,117.56002,43.44313424,175.9966028,28.52420018,-27.7212124,3.201343536,-1,6382.524725,-1
114155.04+011620.7,175.4793644,1.272419443,267.2122601,59.23482971,-26.36538162,2.455986738,4428.097552,5117.118027,-1
145815.33+302155.9,224.5638849,30.36553097,47.18462481,62.10560395,-25.91497557,2.990249872,2587.726171,2490.029731,-1
134549.54+060701.6,206.4564395,6.117132415,336.9863691,65.32763281,-25.55288956,2.285213709,3722.822619,5172.50066,6213.141698
091348.46+043757.6,138.451936,4.632678805,226.3016518,33.58157008,-23.9977878,1.671754956,4416.123036,4611.068485,8737.263091
235351.86-004416.0,358.4660954,-0.73778588,92.91236537,-60.21009387,-26.4816666,2.827301979,2902.804621,4194.004028,-1
104156.99+355036.8,160.4874767,35.84357713,187.2221466,61.20325118,-25.43512114,2.269495964,4131.39899,3047.222528,2204.312881
220337.98+005132.0,330.9082825,0.858891608,60.73229195,-40.91870368,-23.43036954,0.709569335,-1,-1,-1
080206.97+211606.6,120.5290779,21.26850732,200.6160922,24.65417341,-25.92994504,2.375385523,3041.772811,4271.631491,2484.612247
155638.29+080419.2,239.1595789,8.072009878,18.29549491,42.28448029,-25.13603094,2.774196625,2696.874739,9451.628088,-1
020252.82-001634.4,30.72009459,-0.276241117,158.4485659,-58.13388706,-26.08179232,3.551435471,2935.190366,9205.673541,-1
014840.64+061037.9,27.16936242,6.177214745,147.6002379,-53.93033643,-26.78400997,2.348606348,3989.01299,3724.103059,2940.035073
235305.38+021727.2,358.2724381,2.290912122,95.09293199,-57.392808,-24.97329265,2.48712635,2119.431526,6118.145218,-1
081703.16+183414.9,124.2631925,18.57081714,204.8259786,26.9426416,-25.32321803,2.679925442,5201.938365,5535.046306,-1
153907.88+254417.9,234.7828592,25.7383181,40.58563117,52.60847786,-22.2989303,0.774266362,-1,-1,-1
213134.75+063930.1,322.8948077,6.658380008,60.35174601,-31.04834902,-26.14956831,2.550032377,5726.059178,5861.286718,-1
152539.80+041356.2,231.4158582,4.232278492,7.926330501,46.69560682,-26.51980547,2.741690636,4285.988015,5770.363835,-1
123851.33+053836.9,189.7139081,5.643604608,294.4361474,68.30755689,-25.81589635,2.687617302,4638.327459,6589.04359,-1
135823.44+324839.6,209.5976757,32.81102521,58.39431288,74.44919133,-25.83420978,3.123602152,2131.91778,3734.999271,-1
081126.86+530824.4,122.8619493,53.14011113,165.2757061,33.19226426,-26.00868786,3.164657593,2789.480511,3543.55135,-1
125518.04-014814.1,193.8252009,-1.803921458,304.9265303,61.05286494,-28.08206041,2.445350885,3804.470787,4647.76717,-1
