ra,dec,longitud,latitud,u,g,r,i
145.59304136,0.73486379,235.01546204,37.57043255,21.828955,21.715067,22.76387,21.096674
145.5986179,0.83482475,234.91534061,37.63151497,22.083885,21.093676,20.261578,19.75141
145.61518965,0.63056166,235.13972853,37.52965229,21.849102,21.483541,20.694742,20.217716
145.63159652,0.77226808,235.00403601,37.62337887,22.345461,21.134567,20.364941,20.329071
145.63305891,0.77295669,235.00436277,37.62497488,26.132854,22.439148,21.954411,21.776419
145.64148329,0.79111927,234.99145748,37.64219088,21.914543,20.509485,19.919865,19.696947
145.5545369,0.82252769,234.89674494,37.58819114,26.497938,22.39105,20.821354,19.764851
145.556471,0.79532496,234.92645441,37.5744294,22.808802,20.704353,19.907343,19.41132
145.55696027,0.70811269,235.01755737,37.52554913,24.359501,22.594349,21.917255,21.542974
145.55824733,0.69061889,235.03666477,37.51671633,22.085285,22.553091,21.316568,21.913445
145.55925467,0.71131676,235.01586074,37.52925289,21.409143,20.694302,19.734039,19.268854
145.56025239,0.81549053,234.9081464,37.58893583,24.948875,22.706932,22.758318,21.722187
145.56026973,0.75585705,234.97024721,37.55526823,26.638449,22.015001,19.785112,19.219748
145.56036617,0.75701399,234.96911217,37.55600206,24.470072,22.418909,21.561882,21.462076
145.56156228,0.72071974,235.00772632,37.53647327,22.897242,22.188307,21.576344,21.325485
145.5620888,0.77863464,234.94783477,37.56963859,25.329834,21.921747,21.025042,20.813684
145.56284064,0.81649457,234.90894381,37.59163912,23.026918,21.9799,21.338621,20.846842
145.56472659,0.75827413,234.9709085,37.56031097,22.360323,21.985426,21.483225,20.578468
145.56515777,0.68443358,235.04802323,37.51891524,23.943483,22.127747,20.597725,19.860985
145.56703709,0.82935616,234.89853463,37.60236282,23.874689,22.013844,20.836287,20.286306
145.56977272,0.75367854,234.97928859,37.56187682,21.498861,20.884895,19.924013,19.604095
145.56722771,0.75151573,234.97972482,37.55855494,25.611498,22.09763,20.776423,20.6455
145.57168972,0.75292004,234.98144438,37.56302985,25.44035,22.913738,21.52389,21.419083
145.57026671,0.72484673,235.00964039,37.54598565,21.740831,22.101871,21.611273,20.910315
145.57351566,0.6479618,235.0918928,37.50516331,22.851383,22.242044,20.482244,19.82543
145.57376361,0.76401525,234.97137458,37.57101044,23.566126,23.337305,21.678356,21.569464
145.57527265,0.74234624,234.9950028,37.5600077,24.043451,22.110052,21.725639,21.831985
145.57648365,0.71327318,235.0261129,37.54456775,24.881731,22.353563,20.439854,19.776756
145.57873325,0.7367431,235.00330073,37.55969443,24.299284,21.354141,20.283207,19.960571
145.57843445,0.64062951,235.10302231,37.50506604,22.78756,21.845158,20.509579,19.849649
145.57879412,0.79497292,234.94272846,37.59265107,22.626736,23.563232,20.922279,20.282118
145.57957672,0.76804567,234.97132386,37.57808362,24.623457,23.07653,21.222303,21.649429
145.57988502,0.66783166,235.07578825,37.52166178,24.6898,22.133726,21.127291,21.020691
145.58172582,0.79039311,234.94958792,37.5924827,23.05304,22.793594,21.227627,21.150341
145.58270622,0.77889135,234.96226327,37.5867938,23.778982,21.598785,20.840601,20.49231
145.5829114,0.80879939,234.93126229,37.60385748,24.201059,21.816288,20.327845,19.691547
