Name,ra,dec,GLAT,GLON
NGC637,25.73314666748047,64.00164031982422,1.7000000476837158,128.5500030517578
NGC654,26.014436721801758,61.884368896484375,-0.3499999940395355,129.08999633789062
BERK5,26.95754623413086,62.932373046875,0.7599999904632568,129.3000030517578
NGC659,26.054105758666992,60.70094299316406,-1.5099999904632568,129.33999633789062
NGC663,26.5125732421875,61.249977111816406,-0.9399999976158142,129.4600067138672
IC166,28.130949020385742,61.829776763916016,-0.1899999976158142,130.0800018310547
BERK6,27.796035766601562,61.08051681518555,-0.9599999785423279,130.08999633789062
BERK7,28.539695739746094,62.36219024658203,0.3700000047683716,130.13999938964844
NGC657,25.941822052001953,55.8678092956543,-6.25,130.27999877929688
CZERNIK5,28.781068801879883,61.32829284667969,-0.6000000238418579,130.5
STOCK5,31.13591766357422,64.43939208984375,2.6500000953674316,130.74000549316406
CZERNIK6,30.51137924194336,62.874229431152344,1.100000023841858,130.8800048828125
CZERNIK7,30.605134963989258,62.25732421875,0.5199999809265137,131.08999633789062
STOCK4,28.189903259277344,57.06293487548828,-4.849999904632568,131.2100067138672
NGC743,29.67666244506836,60.17619323730469,-1.6100000143051147,131.22999572753906
BERK64,35.268558502197266,65.89527893066406,4.599999904632568,131.9199981689453
NGC744,29.612131118774414,55.47630310058594,-6.159999847412109,132.38999938964844
BERK63,34.90811538696289,63.7462272644043,2.5199999809265137,132.5
STOCK6,35.91783905029297,63.86009979248047,2.740000009536743,132.83999633789062
STOCK2,33.746482849121094,59.265960693359375,-1.9299999475479126,133.44000244140625
TOMB4,37.224666595458984,61.789669036865234,1.059999942779541,134.19000244140625
NGC869 h Per,34.7575798034668,57.146541595458984,-3.7200000286102295,134.6300048828125
MARK6,37.41187286376953,60.6557731628418,0.03999999910593033,134.67999267578125
IC1805,38.177120208740234,61.45354080200195,0.9200000166893005,134.74000549316406
NGC884 Chi Per,35.61249923706055,57.1108512878418,-3.5999999046325684,135.0800018310547
CZERNIK10,38.46333694458008,60.18600082397461,-0.20000000298023224,135.33999633789062
CZERNIK9,38.409423828125,59.88615798950195,-0.47999998927116394,135.42999267578125
CZERNIK13,41.185420989990234,62.344356536865234,2.309999942779541,135.6699981689453
NGC1027,40.67060470581055,61.545955657958984,1.4800000190734863,135.77999877929688
CZERNIK11,38.960060119628906,59.63450241088867,-0.6100000143051147,135.77999877929688
CZERNIK8,38.24533462524414,58.73662567138672,-1.5800000429153442,135.7899932861328
BERK65,39.74966049194336,60.41545104980469,0.27000001072883606,135.83999633789062
KING4,38.92757034301758,59.001258850097656,-1.2000000476837158,136.02000427246094
NGC957,38.40860366821289,57.5361213684082,-2.6600000858306885,136.33999633789062
NGC752,29.44464111328125,37.676612854003906,-23.360000610351562,137.1699981689453
IC1848,42.79460906982422,60.439151763916016,0.9200000166893005,137.19000244140625
TR2,39.323421478271484,55.98334884643555,-3.890000104904175,137.41000366210938
TR3,47.945701599121094,63.254966735839844,4.559999942779541,137.99000549316406
CZERNIK12,39.79103088378906,54.93190383911133,-4.739999771118164,138.07000732421875
CR33,44.83169937133789,60.3990478515625,1.350000023841858,138.10000610351562
CR34,45.23435974121094,60.41434860229492,1.4500000476837158,138.27999877929688
BERK10,54.85905075073242,66.5291519165039,8.90999984741211,138.5800018310547
CR21,27.530776977539062,27.24763298034668,-33.83000183105469,138.66000366210938
CR464,80.601318359375,73.28247833251953,19.850000381469727,139.3800048828125
BERK66,46.06716537475586,58.761451721191406,0.20999999344348907,139.42999267578125
NGC2314,107.60466003417969,75.23631286621094,27.3700008392334,139.5500030517578
STOCK23,49.07628631591797,60.034141540527344,2.109999895095825,140.1300048828125
CZERNIK14,49.23219680786133,58.60020446777344,0.9100000262260437,140.92999267578125
NGC956,38.108184814453125,44.65354919433594,-14.609999656677246,141.2100067138672
CZERNIK17,58.106048583984375,61.999263763427734,6.199999809265137,142.52999877929688
AN(UPGREN),188.7604217529297,36.30801773071289,80.18000030517578,142.67999267578125
NGC1220,47.91520690917969,53.33818435668945,-3.9700000286102295,143.0500030517578
KING6,52.01827621459961,56.456459045410156,-0.07000000029802322,143.36000061035156
NGC1039,40.50593948364258,42.779563903808594,-15.600000381469727,143.63999938964844
NGC1502,61.87978744506836,62.316864013671875,7.619999885559082,143.64999389648438
KING5,48.66231155395508,52.71882247924805,-4.269999980926514,143.75
TOMB5,56.95128631591797,59.05385971069336,3.569999933242798,143.94000244140625
CZERNIK15,50.791412353515625,52.24432373046875,-3.9700000286102295,145.10000610351562
CZERNIK16,52.70311737060547,52.65376663208008,-2.9800000190734863,145.83999633789062
BERK9,53.18046951293945,52.701934814453125,-2.7799999713897705,146.0500030517578
NGC1245,48.66450500488281,47.2520637512207,-8.930000305175781,146.63999938964844
NGC1193,46.461029052734375,44.376529693603516,-12.180000305175781,146.80999755859375
NGC1348,53.468631744384766,51.43412780761719,-3.7100000381469727,146.94000244140625
MEL20 Per Mov Cl,50.50706100463867,48.61199188232422,-7.110000133514404,146.9499969482422
IC361,64.74555206298828,58.304359436035156,5.699999809265137,147.49000549316406
NGC1444,57.345428466796875,52.668766021728516,-1.2899999618530273,148.16000366210938
KING7,59.743812561035156,51.79220962524414,-1.0299999713897705,149.77999877929688
NGC1496,61.10732650756836,52.61983871459961,0.14000000059604645,149.8699951171875
NGC1528,63.8498649597168,51.24139404296875,0.27000001072883606,152.0399932861328
NGC1513,62.50294876098633,49.51382827758789,-1.5700000524520874,152.60000610351562
NGC1545,65.21768951416016,50.252071380615234,0.17000000178813934,153.36000061035156
BERK67,69.533203125,50.74949264526367,2.509999990463257,154.8800048828125
NGC1342,52.90856170654297,37.33609390258789,-15.380000114440918,154.99000549316406
BERK13,73.89083099365234,52.746192932128906,5.860000133514404,155.10000610351562
NGC1624,70.10601043701172,50.44688415527344,2.5799999237060547,155.35000610351562
BERK11,65.14102172851562,44.91896438598633,-3.6500000953674316,157.0800018310547
NGC1724,75.88063049316406,49.50347137451172,4.849999904632568,158.4499969482422
NGC1605,68.75105285644531,45.252906799316406,-1.5800000429153442,158.61000061035156
NGC1582,68.01236724853516,43.856201171875,-2.9100000858306885,159.27999877929688
RUP148,71.62627410888672,44.739803314208984,-0.38999998569488525,160.3300018310547
IC348,56.13555908203125,32.29001998901367,-17.739999771118164,160.42999267578125
BERK16,77.96316528320312,47.626930236816406,4.840000152587891,160.77999877929688
NGC1664,72.7686767578125,43.7011833190918,-0.4399999976158142,161.66000366210938
BERK12,71.1574478149414,42.67524719238281,-1.9900000095367432,161.67999267578125
BERK68,71.12723541259766,42.05870819091797,-2.4100000858306885,162.1300048828125
BERK15,75.5792236328125,44.454769134521484,1.6100000143051147,162.3300018310547
NGC1548,65.22945404052734,36.9184455871582,-9.229999542236328,162.86000061035156
BERK14,75.0447006225586,43.47391891479492,0.7099999785423279,162.8699951171875
NGC1883,81.48053741455078,46.543460845947266,6.190000057220459,163.0399932861328
NGC2126,90.74612426757812,49.89872360229492,13.210000038146973,163.24000549316406
BERK18,80.54338836669922,45.39792251586914,5.010000228881836,163.6300048828125
KING22,80.71918487548828,45.463748931884766,5.150000095367432,163.64999389648438
M45 Pleiades,56.744014739990234,24.120826721191406,-23.530000686645508,166.55999755859375
BERK70,81.43701934814453,41.8935661315918,3.5799999237060547,166.91000366210938
CR62,80.6288070678711,40.99742126464844,2.5,167.25999450683594
KING17,77.11032104492188,39.080787658691406,-0.7300000190734863,167.3000030517578
DOLIDZE14,61.641937255859375,27.433853149414062,-18.06999969482422,167.5500030517578
CZERNIK18,66.99331665039062,30.927228927612305,-12.300000190734863,168.2899932861328
CZERNIK20,80.01580047607422,39.46698760986328,1.3200000524520874,168.3000030517578
NGC1857,80.03988647460938,39.35020446777344,1.2599999904632568,168.41000366210938
NGC1778,77.0197525024414,37.047847747802734,-2.0,168.8800048828125
DOLIDZE15,76.1530990600586,34.83523178100586,-3.9000000953674316,170.1999969482422
STOCK10,84.75633239746094,37.92750549316406,3.5799999237060547,171.6300048828125
CZERNIK21,81.615234375,35.99260330200195,0.4000000059604645,171.8800048828125
NGC1912,82.16441345214844,35.839962005615234,0.699999988079071,172.27000427246094
NGC1907,82.01058959960938,35.32402420043945,0.30000001192092896,172.6199951171875
DOLIDZE16,78.6405029296875,32.72343063354492,-3.4700000286102295,173.17999267578125
STOCK8,81.90411376953125,34.424522399902344,-0.23000000417232513,173.35000610351562
NGC2192,93.7975845336914,39.850341796875,10.640000343322754,173.41000366210938
IC410,80.6470947265625,33.51387023925781,-1.649999976158142,173.47999572753906
NGC1893,80.67131042480469,33.3970832824707,-1.7000000476837158,173.58999633789062
DOLIDZE18,81.02079772949219,33.29541015625,-1.5199999809265137,173.83999633789062
NGC1931,82.85336303710938,34.25328826904297,0.2800000011920929,173.89999389648438
DOLIDZE20,82.14978790283203,33.78999710083008,-0.46000000834465027,173.9600067138672
CZERNIK19,74.2622299194336,28.7773380279541,-8.850000381469727,174.08999633789062
BERK69,81.14143371582031,32.64482116699219,-1.7999999523162842,174.44000244140625
NGC1960,84.02799224853516,34.13095474243164,1.0399999618530273,174.52000427246094
NGC2281,102.3281021118164,41.0593147277832,17.059999465942383,175.0
BERK17,80.15242004394531,30.599523544311523,-3.6500000953674316,175.64999389648438
KING8,87.35043334960938,33.63153076171875,3.119999885559082,176.39999389648438
BERK71,85.31639862060547,32.3913688659668,1.0199999809265137,176.57000732421875
BERK19,81.02143096923828,29.59535026550293,-3.5899999141693115,176.91000366210938
NGC2099 (M37),88.0930404663086,32.544578552246094,3.0899999141693115,177.64999389648438
NGC1746,75.90938568115234,23.819557189941406,-10.649999618530273,179.02000427246094
NGC1758,76.10929870605469,23.7852840423584,-10.520000457763672,179.14999389648438
NGC1750,75.98348999023438,23.65254020690918,-10.699999809265137,179.1999969482422
BASEL4,87.12738037109375,30.215892791748047,1.2000000476837158,179.22999572753906
MEL25 Hyades,66.71278381347656,15.861645698547363,-22.399999618530273,180.0500030517578
NGC1647,71.50643920898438,19.073318481445312,-16.780000686645508,180.38999938964844
CZERNIK23,87.419189453125,28.93112564086914,0.7599999904632568,180.4600067138672
DOL-DZIM3,83.42815399169922,26.483734130859375,-3.5299999713897705,180.6699981689453
DOL-DZIM4,83.97509765625,25.94775390625,-3.4100000858306885,181.38999938964844
NGC1663,72.15217590332031,13.153614044189453,-19.809999465942383,185.7899932861328
NGC1807,77.67101287841797,16.52781867980957,-13.5,186.0800018310547
NGC1817,78.02198028564453,16.69282341003418,-13.130000114440918,186.1300048828125
BERK72,87.57898712158203,22.196922302246094,-2.569999933242798,186.32000732421875
IC2157,91.23949432373047,23.995834350585938,1.25,186.4499969482422
NGC2168,92.21646881103516,24.341093063354492,2.180000066757202,186.5800018310547
NGC2129,90.26046752929688,23.300580978393555,0.12999999523162842,186.61000061035156
NGC2158,91.86503601074219,24.092796325683594,1.7599999904632568,186.63999938964844
BERK21,87.92666625976562,21.778562545776367,-2.509999990463257,186.83999633789062
NGC1662,72.11647033691406,10.937088966369629,-21.1200008392334,187.6999969482422
NGC2266,100.80502319335938,26.96634292602539,10.279999732971191,187.77999877929688
CZERNIK24,88.79667663574219,20.874326705932617,-2.2699999809265137,188.0399932861328
CR89 Gem Mov Cl,94.5121078491211,23.629945755004883,3.700000047683716,188.2100067138672
CR65,81.46981811523438,16.0930233001709,-10.710000038146973,188.47999572753906
NGC2331,106.803955078125,27.354671478271484,15.300000190734863,189.6699981689453
NGC2175,92.44364166259766,20.323270797729492,0.41999998688697815,190.1999969482422
DOL-DZIM2,80.97116088867188,11.462027549743652,-13.569999694824219,192.24000549316406
BERK23,98.3689956665039,20.544607162475586,5.440000057220459,192.61000061035156
CR69,83.76392364501953,9.931907653808594,-12.0,195.0500030517578
DOLIDZE19,80.92993927001953,8.178854942321777,-15.3100004196167,195.11000061035156
NGC2169,92.10975646972656,13.958144187927246,-2.9200000762939453,195.6300048828125
DOLIDZE17,80.5997085571289,7.113758563995361,-16.149999618530273,195.8800048828125
DOLIDZE21,81.84964752197266,7.074428558349609,-15.100000381469727,196.5800018310547
NGC2304,103.75383758544922,18.018871307373047,8.869999885559082,197.1699981689453
NGC2149,93.45377349853516,12.801606178283691,-2.3299999237060547,197.25999450683594
BERK29,103.3232650756836,16.920894622802734,8.029999732971191,197.97999572753906
NGC2141,90.76683044433594,10.431292533874512,-5.789999961853027,198.07000732421875
NGC2420,114.61620330810547,21.569021224975586,19.649999618530273,198.11000061035156
CR74,87.12663269042969,7.398935317993164,-10.399999618530273,198.97000122070312
BERK22,89.6038818359375,7.836912155151367,-8.050000190734863,199.8000030517578
CR95,97.614013671875,9.93144416809082,-0.07000000029802322,201.72000122070312
NGC2259,99.6435317993164,10.8883638381958,2.119999885559082,201.7899932861328
CZERNIK25,93.27467346191406,6.985739231109619,-5.260000228881836,202.30999755859375
TR5,99.18641662597656,9.440540313720703,1.0499999523162842,202.86000061035156
NGC2264,100.26348114013672,9.885382652282715,2.200000047683716,202.94000244140625
NGC2355,109.23037719726562,13.776598930358887,11.800000190734863,203.36000061035156
BERK20,83.24154663085938,0.21765194833278656,-17.280000686645508,203.5
NGC2186,93.04215240478516,5.453516483306885,-6.199999809265137,203.55999755859375
NGC2251,98.68114471435547,8.35962200164795,0.12999999523162842,203.60000610351562
NGC2254,99.00276184082031,7.674735069274902,0.09000000357627869,204.35000610351562
NGC2236,97.42375946044922,6.832325458526611,-1.690000057220459,204.3699951171875
NGC2395,111.77842712402344,13.581640243530273,13.960000038146973,204.6199951171875
CR70 Orion Belt,83.7851791381836,-1.1016525030136108,-17.440000534057617,204.97999572753906
CR92,95.71549224853516,5.123889923095703,-3.990000009536743,205.0800018310547
CR111,99.6739501953125,6.904838562011719,0.3199999928474426,205.33999633789062
CR97,97.81925201416016,5.913741588592529,-1.7699999809265137,205.3699951171875
NGC2632 Praesepe,130.0189208984375,19.989004135131836,32.52000045776367,205.5399932861328
DOLIDZE22,95.8132095336914,4.656744956970215,-4.110000133514404,205.57000732421875
NGC2112,88.46746063232422,0.39234668016433716,-12.609999656677246,205.89999389648438
CR106,99.26937103271484,5.95676851272583,-0.4300000071525574,206.02000427246094
NGC2237,97.59004974365234,5.0481696128845215,-2.369999885559082,206.02999877929688
NGC2239,97.73955535888672,4.947447776794434,-2.2899999618530273,206.17999267578125
BIUR7,104.4051284790039,8.299015998840332,5.139999866485596,206.22999572753906
NGC2252,98.74158477783203,5.3759636878967285,-1.2100000381469727,206.27000427246094
NGC2244,98.08912658691406,4.862429618835449,-2.0199999809265137,206.4199981689453
DOLIDZE26,112.52012634277344,11.894941329956055,13.890000343322754,206.50999450683594
CR104,99.1138916015625,4.8241682052612305,-1.1299999952316284,206.92999267578125
CR107,99.41346740722656,4.739396095275879,-0.9100000262260437,207.13999938964844
CR91,95.3770523071289,2.3588287830352783,-5.570000171661377,207.39999389648438
BIUR12,102.56814575195312,5.757678508758545,2.359999895095825,207.6699981689453
BIUR11,102.81819915771484,5.773158550262451,2.5899999141693115,207.77000427246094
BIUR8,104.52116394042969,6.43178129196167,4.400000095367432,207.9499969482422
CR96,97.57947540283203,2.8648619651794434,-3.380000114440918,207.97000122070312
NGC2269,100.98754119873047,4.565192222595215,0.4099999964237213,208.00999450683594
NGC1981,83.7940444946289,-4.435065746307373,-18.979999542236328,208.08999633789062
CZERNIK27,105.79589080810547,6.409126281738281,5.519999980926514,208.5500030517578
VDBERGH,99.25543975830078,3.0734686851501465,-1.7999999523162842,208.55999755859375
TRAPEZ CL,83.83942413330078,-5.385295391082764,-19.3700008392334,209.00999450683594
NGC1980,83.83673858642578,-5.935288906097412,-19.600000381469727,209.5399932861328
CR110,99.60037994384766,2.021801710128784,-1.9800000190734863,209.64999389648438
NGC2262,99.59638214111328,1.1884781122207642,-2.369999885559082,210.38999938964844
BIUR10,103.05465698242188,2.938671588897705,1.5099999904632568,210.41000366210938
DOLIDZE24,101.04832458496094,1.5982016324996948,-0.800000011920929,210.67999267578125
BIUR9,104.43090057373047,3.215503692626953,2.680000066757202,210.77999877929688
CR115,101.62409973144531,1.762123942375183,-0.30000001192092896,210.8000030517578
BERK78,111.11518096923828,5.351224422454834,9.770000457763672,211.89999389648438
DOLIDZE25,101.2671127319336,0.29714277386665344,-1.2899999618530273,211.94000244140625
DOLIDZE23,100.79068756103516,-0.0005861110985279083,-1.850000023841858,211.97999572753906
BERK24,99.43630981445312,-0.9107780456542969,-3.4600000381469727,212.17999267578125
NGC2301,102.94295501708984,0.47250694036483765,0.2800000011920929,212.5500030517578
BERK35,107.70345306396484,2.7335281372070312,5.559999942779541,212.6999969482422
NGC2324,106.04570007324219,1.0578974485397339,3.309999942779541,213.4499969482422
BIUR13,105.08954620361328,-0.2543011009693146,1.8700000047683716,214.17999267578125
CZERNIK26,97.6952896118164,-4.21911096572876,-6.510000228881836,214.35000610351562
NGC2232,96.6927490234375,-4.730947494506836,-7.650000095367432,214.36000061035156
BERK73,95.50981903076172,-6.341914653778076,-9.40999984741211,215.27999877929688
NGC2250,98.19135284423828,-5.038176536560059,-6.449999809265137,215.3000030517578
NGC2286,101.90058898925781,-3.1725821495056152,-2.299999952316284,215.32000732421875
NGC2682 (M67),132.60902404785156,11.812766075134277,31.719999313354492,215.5800018310547
NGC2215,95.20513916015625,-7.2904510498046875,-10.100000381469727,216.00999450683594
BERK37,110.11078643798828,-1.094266653060913,5.949999809265137,217.22999572753906
CZERNIK28,110.4613265991211,-0.9791994690895081,6.309999942779541,217.2899932861328
NGC2311,104.44408416748047,-4.584645748138428,-0.6899999976158142,217.72999572753906
NGC2302,102.98207092285156,-7.061097145080566,-3.069999933242798,219.27999877929688
BERK77,110.40058135986328,-3.3289475440979004,5.170000076293945,219.36000061035156
HAFFNER3,106.0119857788086,-6.125357627868652,0.009999999776482582,219.80999755859375
NGC2309,104.00656127929688,-7.199278831481934,-2.25,219.86000061035156
MEL111 Com Mov Cl,186.25144958496094,26.10647201538086,84.01000213623047,221.1999969482422
NGC2323,105.75140380859375,-8.340829849243164,-1.2400000095367432,221.6699981689453
RUP4,102.21502685546875,-10.5408296585083,-5.349999904632568,222.0500030517578
BERK39,116.67074584960938,-4.6069440841674805,10.09000015258789,223.47000122070312
NGC2335,106.64327239990234,-10.078351020812988,-1.2699999809265137,223.6199951171875
RUP1,99.09618377685547,-14.175968170166016,-9.6899995803833,223.97999572753906
CR465,106.79074096679688,-10.612377166748047,-1.3899999856948853,224.16000366210938
NGC2343,107.0656509399414,-10.646990776062012,-1.159999966621399,224.32000732421875
CR466,106.81478118896484,-10.812491416931152,-1.4600000381469727,224.35000610351562
NGC2353,108.64273834228516,-10.304292678833008,0.3799999952316284,224.72000122070312
BERK76,106.61085510253906,-11.611550331115723,-1.9900000095367432,224.97000122070312
RUP6,104.00188446044922,-13.282660484313965,-5.019999980926514,225.3000030517578
RUP7,104.42733001708984,-13.217999458312988,-4.619999885559082,225.42999267578125
NGC2368,110.24286651611328,-10.378303527832031,1.7300000190734863,225.52999877929688
NGC2204,93.92183685302734,-18.651037216186523,-16.06999969482422,226.00999450683594
