id,longitud,latitud,radio,distancia
#         deg      deg     kpc   kpc
  468, 036.895, -00.134,  5.3,  6.8
  469, 036.919, +00.482, 11.8, 17.4
  470, 036.993, -00.230,  5.3,  6.8
  471, 037.029, -00.202,  5.2,  6.8
  472, 037.176, -00.439,  6.7, 11.1
  473, 037.200, -00.430,  6.6, 11.0
  474, 037.258, +00.084,  5.1,  6.8
  475, 037.259, -00.083,  6.5, 10.8
  476, 037.261, +00.077,  5.1,  6.8
  477, 037.266, +00.082,  5.1,  6.8
  478, 037.270, +00.089,  5.1,  6.8
  479, 037.319, +00.162,  5.2,  6.8
  480, 037.320, +00.169,  5.2,  6.8
  481, 037.344, +00.684,  6.4, 10.5
  482, 037.347, -00.146,  6.1, 10.0
  483, 037.363, -00.234,  6.6, 10.9
  484, 037.446, -00.211,  5.7,  9.3
  485, 037.469, -00.104,  5.9,  9.6
  486, 037.498, +00.530,  8.0, 12.8
  487, 037.544, -00.114,  6.2, 10.2
  488, 037.640, -00.106,  6.3, 10.4
  489, 037.642, -00.112,  6.1, 10.0
  490, 037.678, +00.156,  5.2,  6.7
  491, 037.751, -00.110,  6.2, 10.1
  492, 037.754, +00.560,  7.6, 12.2
  493, 037.763, -00.211,  5.7,  9.1
  494, 037.816, -00.379,  5.8,  9.2
  495, 037.820, +00.414,  7.4, 11.9
  496, 037.868, -00.601,  6.3, 10.2
  497, 037.872, -00.398,  5.9,  9.5
  498, 038.045, -00.034,  5.9,  9.5
  499, 038.121, -00.226,  5.2,  6.7
  500, 038.550, +00.163,  7.2, 11.5
  501, 038.643, -00.227,  5.8,  9.0
  502, 038.652, +00.087, 12.3, 17.8
  503, 038.693, -00.452,  6.2,  9.9
  504, 038.738, -00.140,  5.9,  9.2
  505, 038.840, +00.495, 12.7, 18.2
  506, 038.861, -00.134,  5.8,  8.9
  507, 038.875, +00.308,  9.7, 14.8
  508, 039.176, -00.398,  6.1,  9.4
  509, 039.196, +00.225, 10.3, 15.4
  510, 039.225, -00.053,  7.5, 11.8
  511, 039.249, -00.063,  7.4, 11.6
  512, 039.389, -00.143,  5.8,  4.5
  513, 039.389, -00.143,  5.8,  4.5
  514, 039.545, -00.366,  6.1,  9.4
  515, 039.728, -00.396,  6.0,  9.1
  516, 039.856, -00.184,  6.0,  9.0
  517, 039.865, +00.646, 12.3, 17.6
  518, 039.874, -00.176,  6.0,  9.0
  519, 039.883, -00.346,  6.0,  9.0
  520, 039.888, -01.272,  6.5,  3.0
  521, 039.901, -01.321,  6.5,  3.0
  522, 039.902, -01.352,  6.4,  3.2
  523, 039.925, -00.378,  5.7,  6.5
  524, 040.017, -00.120,  5.5,  6.5
  525, 040.141, +01.577,  7.4,  1.5
  526, 040.282, -00.220,  5.6,  6.5
  527, 040.285, -00.239,  5.6,  5.3
  528, 040.430, +00.698,  7.5, 11.6
  529, 040.503, +02.537,  7.4,  1.6
  530, 040.545, +02.596,  6.9,  2.2
  531, 040.798, -00.131,  5.8,  6.4
  532, 040.966, -00.620,  6.0,  4.2
  533, 041.075, -00.161,  6.0,  8.7
  534, 041.129, -00.558,  5.9,  6.4
  535, 041.235, +00.367,  5.7,  5.4
  536, 041.376, +00.032,  6.0,  4.2
  537, 041.382, +00.038,  6.0,  4.2
  538, 041.512, +00.022,  7.7, 11.6
  539, 041.517, -00.141,  6.1,  8.7
  540, 041.740, +00.096,  8.0, 12.0
  541, 041.928, -00.125,  7.6, 11.4
  542, 041.929, +00.030,  7.5, 11.3
  543, 042.008, +00.353, 12.0, 16.9
  544, 042.065, +00.244,  7.7, 11.5
  545, 042.104, -00.623,  5.9,  7.7
  546, 042.111, -00.444,  6.3,  8.9
  547, 042.137, -00.079,  6.7,  9.8
  548, 042.217, -00.579,  5.7,  6.3
  549, 042.390, -00.381,  5.9,  4.8
  550, 042.434, -00.275,  6.0,  8.1
  551, 042.563, -00.107,  5.9,  7.4
  552, 043.078, +00.002,  7.9, 11.6
  553, 043.095, -00.040,  8.5, 12.4
  554, 043.098, -00.052,  8.5, 12.4
  555, 043.146, +00.014,  8.4, 12.3
  556, 043.149, +00.029,  8.2, 12.0
  557, 043.152, +00.011,  8.4, 12.3
  558, 043.154, -00.039,  8.2, 12.0
  559, 043.155, +00.019,  8.4, 12.3
  560, 043.162, -00.070,  8.4, 12.2
  561, 043.166, -00.030,  8.2, 12.0
  562, 043.171, -00.003,  8.2, 12.0
  563, 043.176, -00.518,  6.1,  8.1
  564, 043.176, +00.025,  8.0, 11.7
  565, 043.176, -00.022,  7.8, 11.4
  566, 043.180, +00.021,  8.0, 11.7
  567, 043.182, -00.037,  8.0, 11.7
  568, 043.183, -00.026,  8.2, 12.0
  569, 043.184, +00.018,  8.0, 11.7
  570, 043.186, -00.525,  6.1,  8.1
  571, 043.238, -00.044,  8.1, 11.8
  572, 043.240, +00.131,  8.0, 11.6
  573, 043.306, -00.211,  6.1,  4.3
  574, 043.432, +00.517,  9.5, 13.6
  575, 043.516, +00.019,  6.0,  6.2
  576, 043.523, -00.648,  6.2,  8.3
  577, 043.525, +00.012,  6.0,  6.2
  578, 043.530, +00.021,  6.0,  6.2
  579, 043.537, +00.019,  6.0,  6.2
  580, 043.730, +00.115,  5.9,  6.1
  581, 043.774, +00.058,  5.9,  6.1
  582, 043.793, -00.121,  6.7,  9.2
  583, 043.794, -00.129,  6.7,  9.2
  584, 043.818, +00.395,  9.3, 13.3
  585, 043.888, -00.799,  6.3,  3.9
  586, 043.890, -00.780,  6.3,  8.4
  587, 043.895, +00.198, 11.6, 16.1
  588, 043.968, +00.993, 10.0, 14.1
  589, 043.995, -00.010,  6.0,  6.9
  590, 044.007, -00.015,  6.0,  6.9
  591, 044.225, +00.085,  6.1,  7.7
  592, 044.280, -00.526,  5.9,  6.4
  593, 044.310, +00.041,  6.2,  7.9
  594, 044.332, -00.837,  6.1,  6.1
  595, 044.379, -00.327,  6.1,  6.1
  596, 044.418, +00.536, 13.7, 18.4
  597, 044.501, +00.332, 12.1, 16.6
  598, 044.521, +00.385, 12.9, 17.5
  599, 044.553, -00.239,  6.2,  6.1
  600, 044.812, -00.492,  6.6,  8.9
  601, 044.904, -00.732,  6.0,  6.0
  602, 045.002, -00.610,  6.1,  6.0
  603, 045.070, +00.132,  6.2,  6.0
  604, 045.119, +00.144,  6.2,  7.7
