ra,dec,u,g,r,i,z,redshift,velocidad,distancia_arcmin,tipo
194.932182,27.994683,17.654,15.894,15.096,14.704,14.452,0.02225,6675.0,1.3876,galaxia
194.933937,28.176314,19.682,17.994,17.254,16.919,16.694,0.02771,8313.0,11.7884,galaxia
194.937564,28.048424,21.376,19.187,17.713,16.56,15.943,,,4.1525,estrella
194.943096,28.164034,16.938,15.689,15.287,15.158,15.138,,,11.021,estrella
194.944907,27.973845,17.504,15.574,14.742,14.345,14.098,0.03142,9425.999999999998,0.585,galaxia
194.945554,27.991912,20.422,18.242,17.548,17.256,16.982,0.02806,8418.0,0.7852,galaxia
194.949036,28.097886,19.743,18.39,17.705,17.326,17.137,0.02126,6378.0,7.0428,galaxia
194.952959,28.06536,18.056,16.74,16.271,16.1,16.052,,,5.0883,estrella
194.959523,28.144374,19.012,17.459,16.77,16.42,16.183,0.0226,6780.0,9.8353,galaxia
194.964421,28.073481,19.179,17.099,16.309,15.945,15.754,0.02499,7496.999999999999,5.6087,galaxia
194.964486,28.119654,17.11,15.174,14.484,14.273,14.181,,,8.3684,estrella
194.965661,28.098526,19.755,17.438,16.685,16.315,16.075,0.02551,7653.0,7.1103,galaxia
194.971652,28.107715,18.391,17.413,17.163,17.067,17.062,,,7.6938,estrella
194.979547,28.128356,17.792,15.984,15.193,14.796,14.494,0.02523,7569.0,8.9794,galaxia
194.981508,28.243189,19.365,19.757,17.556,16.802,27.295,,,15.8305,galaxia
194.983379,28.034715,16.776,14.972,14.139,13.727,13.393,0.02719,8157.0,3.6282,galaxia
194.990049,28.065098,18.718,17.227,16.529,16.215,15.978,0.01948,5844.0,5.4405,galaxia
194.990611,28.246664,15.989,14.29,13.433,13.085,12.747,0.02237,6711.0,16.0906,galaxia
194.994116,28.217329,18.001,16.669,16.184,16.018,15.953,,,14.3728,estrella
194.995494,28.124864,14.919,14.399,14.213,13.057,13.488,,,8.9472,estrella
194.996776,28.000937,17.461,16.373,16.03,15.913,15.885,,,2.6259,estrella
194.997684,28.13103,16.051,14.543,13.947,14.685,13.58,,,9.3345,estrella
195.004336,28.237006,19.525,17.681,17.002,16.766,16.642,,,15.6258,estrella
195.012507,28.24031,18.382,16.717,16.186,15.958,15.835,0.02569,7707.0,15.9011,galaxia
195.013527,28.050386,20.305,17.915,16.781,16.36,16.088,,,5.2784,estrella
195.014109,28.216661,19.814,17.28,15.856,14.769,14.209,,,14.5318,estrella
195.017269,28.246392,19.052,17.609,17.137,16.97,16.975,,,16.3097,estrella
195.01761,28.156739,21.127,18.516,17.662,17.306,17.364,,,11.112,galaxia
195.017693,28.155107,19.812,17.993,17.324,16.991,16.78,0.02192,6576.0,11.0203,galaxia
195.017899,28.090123,20.553,18.138,17.071,16.681,16.453,,,7.4203,estrella
195.018502,27.987578,17.024,14.943,14.155,13.793,13.558,0.02125,6375.000000000001,3.5005,galaxia
195.022457,28.024439,18.671,16.367,15.693,15.367,15.152,0.01969,5907.0,4.5282,galaxia
195.024362,28.044656,19.805,17.649,16.767,16.426,16.291,,,5.3958,estrella
195.025435,27.978301,17.078,14.769,13.84,13.859,13.954,0.02546,7638.0,3.8449,galaxia
195.025437,28.095132,18.011,16.918,16.591,16.487,16.457,,,7.8746,estrella
195.025649,28.252183,23.351,17.483,17.235,17.3,17.82,0.02122,6366.0,16.746,galaxia
195.026606,28.004117,18.957,16.678,15.871,15.499,15.211,0.02425,7275.0,4.1522,galaxia
195.028591,27.984506,24.715,13.264,12.597,12.244,11.842,,,4.0166,galaxia
